T,TM,Tm,H,VV,V,VM,PM 2.5
29.8,37.0,23.0,69.0,3.2,18.5,27.8,32.958333333333336
31.0,35.0,28.0,64.0,2.3,8.5,18.3,80.625
33.9,39.0,29.0,50.0,2.3,8.0,13.0,90.70833333333331
36.4,41.0,31.0,38.0,2.6,10.4,25.9,97.29166666666669
30.0,33.0,28.0,76.0,2.9,15.7,24.1,50.708333333333336
30.6,33.0,28.0,73.0,2.7,10.7,16.5,40.375
30.9,37.0,26.0,68.0,2.9,12.0,22.2,49.41666666666666
33.4,39.0,28.0,59.0,2.7,13.0,22.2,61.875
32.2,36.0,27.0,65.0,2.6,13.3,22.2,0.0
30.6,33.0,28.0,76.0,2.6,11.1,18.3,29.666666666666668
29.9,34.0,28.0,81.0,2.4,10.9,22.2,49.125
29.4,35.0,27.0,83.0,2.6,9.6,16.5,43.66666666666666
28.5,34.0,25.0,85.0,2.6,9.8,22.2,29.83333333333333
31.5,35.0,28.0,74.0,2.9,9.6,16.5,35.208333333333336
30.4,36.0,28.0,78.0,2.6,6.3,16.5,37.625
31.4,35.0,28.0,75.0,2.7,9.1,20.6,41.458333333333336
30.7,35.0,27.0,77.0,3.1,11.1,20.6,38.583333333333336
26.3,29.0,24.0,94.0,1.4,6.7,18.3,36.0
28.9,33.0,26.0,86.0,1.6,5.0,14.8,70.58333333333333
28.0,33.0,25.0,89.0,2.4,10.2,20.6,33.166666666666664
30.2,34.0,25.0,78.0,2.6,8.7,18.3,38.25
29.1,33.0,27.0,87.0,2.4,4.8,18.3,26.58333333333333
27.4,31.0,26.0,93.0,2.1,8.1,24.1,15.416666666666666
29.8,33.0,27.0,84.0,2.6,8.5,14.8,41.375
30.6,33.0,28.0,77.0,2.9,15.0,24.1,25.541666666666668
30.8,35.0,28.0,77.0,2.7,11.3,24.1,28.375
28.0,29.0,26.0,93.0,1.8,4.3,11.1,50.333333333333336
27.8,31.0,26.0,91.0,2.3,6.5,14.8,35.375
26.9,28.0,26.0,93.0,1.9,6.3,14.8,31.916666666666668
28.8,31.0,26.0,89.0,1.9,13.9,22.2,35.291666666666664
28.8,33.0,26.0,86.0,2.1,14.6,22.2,26.83333333333333
27.3,30.0,26.0,93.0,2.3,10.7,18.3,21.125
27.9,32.0,26.0,93.0,2.1,5.6,13.0,35.708333333333336
28.8,32.0,26.0,88.0,2.1,8.5,11.1,43.583333333333336
28.6,33.0,26.0,86.0,2.7,9.8,16.5,46.04166666666666
30.1,34.0,27.0,85.0,1.9,1.7,9.4,82.875
31.6,35.0,28.0,76.0,2.3,10.2,16.5,64.91666666666667
30.8,34.0,27.0,73.0,2.7,13.9,22.2,30.666666666666668
28.8,33.0,26.0,78.0,3.5,11.9,18.3,34.416666666666664
32.5,34.0,30.0,60.0,4.5,15.0,18.3,33.166666666666664
30.3,35.0,26.0,67.0,3.9,13.5,22.2,30.625
30.2,35.0,25.0,64.0,3.2,14.3,24.1,30.33333333333333
30.4,35.0,26.0,60.0,3.1,8.9,18.3,0.0
29.4,34.0,27.0,66.0,2.4,9.4,20.6,0.0
29.5,34.0,25.0,67.0,1.9,7.4,18.3,0.0
30.7,35.0,27.0,69.0,2.1,3.3,9.4,76.875
31.3,36.0,27.0,66.0,2.4,5.4,16.5,83.45833333333333
31.3,36.0,25.0,59.0,2.3,7.6,20.6,71.66666666666667
30.1,35.0,25.0,63.0,2.3,5.0,13.0,69.70833333333333
28.8,33.0,26.0,74.0,2.7,12.8,27.8,62.375
26.3,33.0,24.0,85.0,2.3,13.5,24.1,24.875
28.6,34.0,25.0,76.0,2.9,9.1,18.3,43.958333333333336
27.9,33.0,25.0,80.0,3.2,6.9,20.6,41.5
28.2,34.0,25.0,79.0,2.6,7.4,16.5,38.79166666666666
28.3,32.0,25.0,71.0,3.4,11.7,16.5,30.33333333333333
28.7,33.0,25.0,66.0,3.7,13.1,22.2,26.666666666666668
27.3,33.0,23.0,66.0,3.5,13.1,24.1,29.0
29.8,33.0,26.0,68.0,2.1,7.0,11.1,61.708333333333336
29.9,34.0,26.0,67.0,2.9,8.1,13.0,60.54166666666666
29.4,34.0,25.0,66.0,2.6,8.7,16.5,41.583333333333336
27.2,31.0,24.0,76.0,2.3,2.8,11.1,80.04166666666667
27.6,32.0,23.0,74.0,2.4,6.9,18.3,82.83333333333333
26.2,33.0,22.0,72.0,2.6,4.6,14.8,95.25
24.9,32.0,19.0,64.0,2.7,5.2,16.5,126.16666666666669
25.3,31.0,19.0,58.0,2.3,3.5,11.1,136.70833333333334
24.6,31.0,19.0,57.0,2.1,3.9,14.8,160.66666666666666
23.9,30.0,19.0,68.0,1.1,3.7,11.1,245.66666666666663
24.0,30.0,19.0,67.0,1.1,2.4,9.4,261.6666666666667
22.6,30.0,18.0,63.0,1.4,4.3,14.8,272.4166666666667
24.9,30.0,20.0,51.0,2.6,7.8,14.8,149.625
20.1,24.0,17.0,74.0,1.4,0.7,9.4,99.70833333333331
21.4,27.0,15.0,58.0,1.3,7.8,16.5,217.375
19.8,28.0,14.0,52.0,1.6,6.7,20.6,309.375
20.6,26.0,16.0,66.0,1.0,7.6,14.8,321.5416666666667
19.0,25.0,14.0,70.0,1.3,4.4,11.1,278.0
19.6,25.0,14.0,68.0,1.6,3.9,11.1,192.33333333333331
17.8,25.0,11.0,51.0,1.8,5.4,16.5,224.16666666666663
16.8,25.0,10.0,53.0,1.9,5.6,14.8,196.75
17.6,25.0,9.0,50.0,1.8,3.7,11.1,221.54166666666663
17.8,26.0,10.0,49.0,2.1,5.7,18.3,166.70833333333334
17.9,27.0,11.0,53.0,2.1,3.0,11.1,130.70833333333334
19.6,27.0,10.0,50.0,1.9,5.0,13.0,194.70833333333331
18.9,28.0,13.0,55.0,2.4,11.3,22.2,134.45833333333334
19.3,28.0,14.0,54.0,2.3,10.6,22.2,110.0
19.8,27.0,13.0,54.0,1.8,5.4,13.0,160.0
19.1,27.0,10.0,45.0,2.4,3.9,11.1,118.91666666666669
18.6,27.0,12.0,46.0,2.4,6.3,14.8,176.375
18.4,26.0,11.0,47.0,2.1,5.2,14.8,185.95833333333331
16.1,25.0,9.0,64.0,1.3,2.8,11.1,239.125
16.9,26.0,11.0,65.0,0.8,1.7,9.4,365.2916666666667
15.9,24.0,10.0,69.0,1.0,3.5,13.0,312.2083333333333
15.6,24.0,10.0,63.0,2.1,8.1,22.2,121.33333333333331
15.7,23.0,10.0,67.0,1.6,6.5,11.1,202.875
16.5,24.0,11.0,68.0,1.1,6.1,13.0,260.1666666666667
16.5,22.0,12.0,85.0,0.8,7.6,14.8,277.7083333333333
14.6,18.0,13.0,95.0,0.6,9.6,13.0,284.1666666666667
13.7,16.0,0.0,99.0,0.6,5.7,11.1,288.4166666666667
11.7,20.0,6.0,62.0,1.4,9.8,22.2,166.91666666666666
12.3,19.0,5.0,53.0,1.8,6.1,18.3,169.0
12.1,16.0,9.0,65.0,1.6,4.3,16.5,186.04166666666663
14.1,16.0,12.0,83.0,2.3,6.3,18.3,nan
11.0,18.0,5.0,90.0,0.6,10.0,14.8,255.875
9.4,17.0,4.0,77.0,1.4,9.4,18.3,217.08333333333331
11.9,18.0,4.0,66.0,1.6,5.0,14.8,229.16666666666663
10.9,18.0,4.0,70.0,1.3,5.4,14.8,298.4583333333333
11.4,20.0,3.0,69.0,1.3,4.1,11.1,264.9166666666667
11.5,18.0,5.0,82.0,0.5,3.7,11.1,404.5
14.0,20.0,8.0,64.0,1.3,5.2,11.1,188.5
13.9,21.0,7.0,69.0,1.1,7.4,13.0,164.75
11.7,16.0,9.0,94.0,0.3,3.9,9.4,376.9166666666667
13.3,20.0,9.0,86.0,1.8,8.9,14.8,0.0
13.1,20.0,8.0,86.0,1.3,7.4,13.0,0.0
13.2,14.0,12.0,97.0,1.8,13.0,22.2,57.0
10.7,14.0,9.0,100.0,0.5,10.2,14.8,202.91666666666663
13.0,20.0,9.0,89.0,0.8,7.6,14.8,205.125
14.7,22.0,8.0,82.0,1.1,9.6,22.2,214.125
13.2,17.0,11.0,98.0,0.5,6.5,13.0,315.7916666666667
13.1,20.0,9.0,86.0,1.0,4.8,9.4,322.25
15.5,22.0,9.0,78.0,1.1,4.6,13.0,246.04166666666663
17.9,26.0,7.0,70.0,1.6,3.3,11.1,200.91666666666663
18.9,25.0,14.0,74.0,2.7,15.6,27.8,99.5
12.6,17.0,7.0,95.0,1.3,10.4,18.3,143.91666666666666
12.4,19.0,6.0,62.0,2.9,11.3,24.1,100.25
14.9,22.0,6.0,62.0,2.1,9.1,18.3,165.0
12.4,14.0,10.0,96.0,1.4,10.4,18.3,116.45833333333331
12.1,17.0,9.0,90.0,1.1,5.2,11.1,143.0
16.9,22.0,8.0,56.0,1.9,5.6,13.0,231.125
16.8,24.0,11.0,67.0,1.4,4.8,13.0,218.66666666666663
17.2,24.0,11.0,66.0,2.3,12.2,18.3,211.0
17.7,24.0,10.0,63.0,2.1,3.9,13.0,52.208333333333336
18.9,25.0,14.0,58.0,2.1,6.9,14.8,187.5
19.1,24.0,13.0,70.0,3.1,11.7,18.3,130.16666666666666
15.4,19.0,11.0,87.0,2.1,8.1,14.8,123.125
15.2,21.0,10.0,81.0,1.6,6.9,14.8,120.91666666666669
17.7,24.0,10.0,61.0,2.6,5.9,13.0,153.625
18.1,25.0,11.0,57.0,2.4,8.5,18.3,130.33333333333334
19.8,26.0,12.0,58.0,3.1,10.2,22.2,110.70833333333331
21.3,28.0,13.0,54.0,3.4,6.7,24.1,138.5
18.4,25.0,12.0,58.0,3.2,13.0,20.6,75.75
19.1,26.0,12.0,58.0,2.6,7.8,14.8,146.54166666666666
21.8,29.0,12.0,51.0,2.7,5.4,13.0,116.625
20.9,27.0,15.0,53.0,3.1,12.4,27.8,80.04166666666667
21.5,27.0,14.0,50.0,3.4,10.4,18.3,100.04166666666669
24.0,31.0,15.0,47.0,3.1,10.6,18.3,109.45833333333331
25.2,31.0,17.0,51.0,3.1,5.0,11.1,110.16666666666669
25.3,31.0,20.0,48.0,3.2,9.1,14.8,108.20833333333331
24.1,29.0,21.0,54.0,3.2,8.5,14.8,103.83333333333331
23.9,31.0,15.0,39.0,3.2,15.0,29.4,74.29166666666667
24.7,33.0,16.0,40.0,2.9,8.0,22.2,101.79166666666669
26.2,35.0,18.0,38.0,2.9,9.6,18.3,106.16666666666669
24.7,31.0,17.0,42.0,3.1,13.0,22.2,89.875
26.8,32.0,22.0,45.0,3.4,16.3,24.1,48.208333333333336
25.4,31.0,18.0,37.0,4.0,13.5,20.6,47.04166666666666
26.3,33.0,18.0,30.0,3.9,12.8,20.6,67.79166666666667
27.2,32.0,23.0,34.0,3.2,14.6,27.8,56.66666666666666
28.3,33.0,23.0,33.0,2.9,8.9,20.6,79.0
29.6,36.0,23.0,33.0,2.3,5.0,13.0,123.58333333333331
26.0,33.0,20.0,46.0,2.3,8.1,13.0,80.29166666666667
28.9,35.0,21.0,28.0,2.4,5.2,14.8,137.875
30.0,37.0,21.0,22.0,2.6,10.4,25.9,87.875
32.6,39.0,24.0,24.0,2.6,7.4,20.6,121.20833333333331
32.2,39.0,25.0,25.0,3.1,8.9,22.2,97.04166666666669
31.8,40.0,21.0,21.0,3.1,9.6,22.2,92.08333333333331
35.3,43.0,27.0,15.0,3.1,8.3,18.3,130.625
34.6,42.0,27.0,18.0,2.9,11.3,22.2,90.5
31.3,37.0,27.0,30.0,3.4,12.4,22.2,55.41666666666666
32.6,38.0,26.0,39.0,2.9,5.9,13.0,108.33333333333331
31.1,40.0,24.0,36.0,2.7,10.2,25.9,198.875
32.1,38.0,23.0,26.0,2.9,8.0,20.6,120.70833333333331
24.6,29.0,18.0,66.0,3.2,12.6,37.0,60.54166666666666
26.7,32.0,20.0,55.0,2.9,12.2,18.3,79.0
29.1,35.0,23.0,48.0,2.9,12.0,22.2,133.70833333333334
32.5,38.0,26.0,28.0,3.2,13.5,22.2,53.25
33.4,39.0,26.0,26.0,3.4,11.9,18.3,65.16666666666667
32.4,38.0,26.0,27.0,3.5,13.1,24.1,83.58333333333333
30.9,39.0,23.0,40.0,4.2,10.7,27.8,40.66666666666666
30.6,36.0,24.0,46.0,4.2,9.3,18.3,48.125
33.4,39.0,27.0,36.0,3.1,8.9,14.8,103.16666666666669
34.8,42.0,28.0,32.0,2.4,10.9,22.2,143.375
32.0,37.0,25.0,37.0,3.2,11.7,18.3,44.79166666666666
33.7,40.0,26.0,32.0,2.6,7.4,16.5,71.95833333333333
36.2,42.0,28.0,26.0,2.7,9.3,22.2,17.5
39.7,45.0,32.0,17.0,2.7,13.3,22.2,101.0
38.5,46.0,31.0,18.0,2.9,10.6,22.2,76.20833333333333
38.6,45.0,31.0,19.0,2.9,6.5,14.8,84.33333333333333
29.6,35.0,23.0,51.0,3.2,13.1,29.4,48.833333333333336
30.8,36.0,27.0,66.0,2.6,10.9,22.2,64.45833333333333
34.1,41.0,30.0,53.0,2.9,12.0,24.1,80.54166666666667
35.5,42.0,29.0,43.0,4.0,12.4,22.2,65.41666666666667
37.8,43.0,31.0,36.0,3.2,15.0,29.4,54.66666666666666
36.4,40.0,31.0,38.0,3.1,10.4,22.2,78.54166666666667
32.2,37.0,27.0,46.0,4.2,10.2,18.3,49.125
33.2,38.0,29.0,47.0,3.2,8.7,18.3,65.875
34.9,41.0,30.0,42.0,3.4,12.4,24.1,72.41666666666667
31.1,35.0,26.0,65.0,3.2,14.6,22.2,184.66666666666663
29.9,37.0,27.0,69.0,3.5,8.3,18.3,113.33333333333331
27.9,31.0,27.0,81.0,2.4,8.0,18.3,146.20833333333334
33.8,39.0,27.0,50.0,3.7,9.3,18.3,112.29166666666669
34.8,40.0,30.0,40.0,3.5,10.7,20.6,60.625
36.2,41.0,30.0,38.0,3.4,11.9,18.3,71.0
34.8,39.0,31.0,57.0,3.9,10.9,14.8,153.41666666666666
32.1,35.0,28.0,71.0,2.9,10.7,16.5,134.95833333333334
32.6,37.0,28.0,67.0,3.4,14.8,20.6,81.125
29.4,33.0,26.0,75.0,3.2,8.5,18.3,52.25
30.1,34.0,27.0,73.0,4.0,9.6,18.3,160.375
31.9,36.0,27.0,65.0,4.0,6.9,14.8,99.375
30.1,33.0,27.0,67.0,3.5,13.3,20.6,31.45833333333333
31.7,36.0,28.0,67.0,3.5,13.5,18.3,47.375
31.1,36.0,28.0,69.0,3.4,7.6,18.3,38.16666666666666
30.9,35.0,28.0,76.0,3.1,9.6,18.3,35.958333333333336
32.3,36.0,29.0,67.0,4.0,10.2,16.5,25.08333333333333
29.8,34.0,28.0,80.0,2.4,6.9,14.8,45.833333333333336
30.4,35.0,27.0,73.0,3.2,10.0,16.5,33.708333333333336
29.9,33.0,28.0,74.0,3.9,10.0,18.3,26.416666666666668
29.9,32.0,28.0,75.0,3.4,10.2,18.3,30.666666666666668
30.1,35.0,27.0,75.0,2.9,9.1,16.5,29.95833333333333
31.6,37.0,27.0,67.0,4.7,16.7,24.1,23.875
31.1,35.0,28.0,63.0,4.2,15.7,24.1,22.33333333333333
30.7,34.0,27.0,62.0,4.2,14.3,27.8,25.08333333333333
33.0,37.0,28.0,54.0,3.5,10.4,22.2,66.79166666666667
33.0,37.0,28.0,49.0,3.7,11.5,22.2,64.875
32.9,38.0,28.0,44.0,3.9,11.9,22.2,47.583333333333336
33.9,40.0,29.0,47.0,4.3,10.2,20.6,33.5
33.9,40.0,28.0,46.0,4.5,13.7,20.6,43.04166666666666
33.3,38.0,28.0,49.0,4.5,11.3,22.2,38.41666666666666
27.3,33.0,25.0,87.0,1.9,9.3,22.2,49.29166666666666
29.8,34.0,26.0,66.0,4.2,16.5,22.2,19.541666666666668
29.2,33.0,27.0,70.0,3.7,14.8,24.1,22.83333333333333
27.6,31.0,26.0,82.0,2.7,14.3,25.9,24.291666666666668
30.9,36.0,27.0,70.0,2.6,4.3,11.1,74.66666666666667
30.7,35.0,28.0,71.0,4.0,9.4,16.5,41.875
30.3,34.0,27.0,73.0,2.9,6.1,11.1,50.583333333333336
29.3,33.0,24.0,69.0,3.4,7.0,14.8,58.125
28.1,34.0,23.0,71.0,4.5,11.3,20.6,57.29166666666666
29.7,35.0,23.0,66.0,4.0,9.4,18.3,38.25
30.7,35.0,26.0,60.0,4.2,7.6,16.5,47.41666666666666
30.8,36.0,26.0,57.0,3.7,7.8,14.8,56.91666666666666
30.4,35.0,25.0,54.0,3.9,10.7,20.6,54.625
30.0,36.0,24.0,50.0,4.0,9.4,18.3,45.958333333333336
30.2,36.0,25.0,50.0,4.2,10.2,22.2,52.25
30.8,36.0,25.0,48.0,4.3,12.0,18.3,43.333333333333336
31.2,37.0,25.0,47.0,3.7,8.0,18.3,41.958333333333336
30.8,35.0,26.0,49.0,4.2,7.0,14.8,0.0
30.6,38.0,25.0,49.0,3.4,7.0,14.8,0.0
30.7,36.0,25.0,55.0,3.1,8.7,13.0,45.75
28.4,34.0,23.0,53.0,3.7,9.3,14.8,70.70833333333333
28.1,35.0,22.0,48.0,4.0,10.4,18.3,51.79166666666666
27.9,32.0,21.0,55.0,3.9,13.3,18.3,0.0
24.6,28.0,21.0,68.0,4.3,10.6,22.2,11.583333333333334
24.4,30.0,19.0,67.0,3.4,6.1,16.5,13.0
23.6,31.0,17.0,52.0,2.1,6.1,16.5,156.25
24.6,32.0,17.0,52.0,1.9,6.1,16.5,156.0
26.8,34.0,19.0,46.0,2.3,6.5,13.0,151.79166666666666
26.2,32.0,21.0,57.0,1.6,4.3,9.4,252.625
25.6,32.0,20.0,58.0,2.4,5.4,14.8,119.41666666666669
25.7,32.0,20.0,53.0,2.1,3.3,9.4,126.0
24.1,30.0,18.0,49.0,1.1,6.3,13.0,232.33333333333331
21.8,28.0,16.0,53.0,1.6,8.9,16.5,215.54166666666663
23.4,31.0,15.0,43.0,1.9,6.9,18.3,239.41666666666663
24.4,30.0,17.0,48.0,1.8,8.3,16.5,196.54166666666663
27.9,31.0,20.0,46.0,1.6,6.9,11.1,232.54166666666663
26.3,32.0,20.0,48.0,1.8,8.0,18.3,185.5
24.6,31.0,18.0,53.0,1.4,9.1,14.8,282.1666666666667
17.9,27.0,12.0,50.0,1.4,6.9,18.3,257.6666666666667
18.4,27.0,10.0,42.0,2.1,8.3,20.6,166.875
20.0,27.0,11.0,35.0,2.4,10.6,18.3,135.16666666666666
18.1,28.0,11.0,48.0,1.4,3.7,9.4,211.45833333333331
18.2,27.0,10.0,48.0,1.3,4.3,14.8,215.5
17.3,26.0,11.0,52.0,1.3,3.1,13.0,223.375
17.5,26.0,11.0,41.0,2.4,8.0,16.5,135.58333333333334
17.9,27.0,10.0,44.0,2.1,7.4,22.2,152.04166666666666
21.6,28.0,11.0,37.0,2.1,5.6,9.4,141.41666666666666
19.3,29.0,12.0,41.0,2.9,11.3,22.2,46.708333333333336
19.4,27.0,12.0,45.0,2.7,10.6,22.2,91.75
18.6,27.0,12.0,53.0,2.4,9.8,20.6,99.91666666666669
17.5,27.0,10.0,44.0,2.7,6.5,18.3,119.70833333333331
17.0,26.0,10.0,47.0,2.3,4.3,14.8,110.875
17.3,27.0,10.0,53.0,1.6,3.5,9.4,200.33333333333331
16.0,20.0,13.0,72.0,1.6,16.5,25.9,203.58333333333331
13.9,15.0,12.0,95.0,1.8,10.9,18.3,25.08333333333333
13.8,18.0,10.0,84.0,1.9,7.8,14.8,57.083333333333336
10.3,14.0,8.0,97.0,0.5,3.9,14.8,349.2916666666667
10.2,16.0,7.0,89.0,1.3,10.9,16.5,188.04166666666663
9.4,16.0,6.0,90.0,0.6,4.1,11.1,310.25
8.1,13.0,6.0,92.0,0.6,10.0,14.8,204.375
9.6,16.0,6.0,95.0,0.8,9.1,18.3,223.25
9.9,18.0,4.0,79.0,0.8,3.3,13.0,248.95833333333331
14.7,21.0,10.0,76.0,0.6,3.0,11.1,172.75
14.4,15.0,13.0,91.0,1.4,6.1,16.5,146.79166666666666
14.0,17.0,11.0,91.0,0.6,4.8,13.0,113.875
9.1,12.0,6.0,91.0,0.5,6.7,13.0,227.0
8.4,10.0,7.0,95.0,0.5,5.7,11.1,231.25
9.7,15.0,7.0,89.0,0.8,5.9,11.1,272.125
11.7,17.0,6.0,83.0,0.8,10.9,18.3,228.79166666666663
11.3,15.0,6.0,89.0,0.8,9.4,20.6,200.875
10.7,18.0,5.0,84.0,0.5,4.3,11.1,214.04166666666663
12.9,19.0,9.0,81.0,0.8,7.6,13.0,217.25
13.5,17.0,11.0,85.0,1.1,11.3,16.5,212.45833333333331
13.3,17.0,10.0,84.0,1.3,11.7,18.3,202.66666666666663
11.9,17.0,9.0,88.0,1.0,7.6,14.8,138.79166666666666
13.1,15.0,11.0,88.0,0.8,4.1,13.0,153.08333333333334
11.8,17.0,8.0,84.0,0.8,10.7,16.5,159.70833333333334
13.0,20.0,6.0,70.0,1.9,7.2,20.6,151.875
15.7,22.0,9.0,68.0,1.6,9.8,14.8,224.79166666666663
17.3,23.0,12.0,70.0,1.8,15.6,24.1,177.625
15.6,22.0,10.0,82.0,1.4,13.5,22.2,149.625
17.1,24.0,10.0,58.0,1.9,3.7,11.1,161.16666666666666
17.4,23.0,11.0,53.0,2.3,8.9,61.1,136.75
16.8,24.0,10.0,62.0,2.1,10.0,18.3,50.91666666666666
17.3,25.0,9.0,55.0,2.6,8.0,22.2,120.20833333333331
20.5,27.0,12.0,52.0,2.6,8.1,18.3,137.125
19.4,27.0,12.0,60.0,1.4,7.0,16.5,197.08333333333331
24.1,29.0,20.0,66.0,1.9,15.9,22.2,166.375
22.8,29.0,18.0,63.0,1.9,10.2,20.6,126.58333333333331
21.3,27.0,16.0,59.0,2.3,13.0,22.2,94.91666666666669
22.7,28.0,16.0,58.0,2.1,10.4,14.8,133.95833333333334
19.6,27.0,14.0,36.0,2.7,9.4,18.3,69.25
19.7,27.0,12.0,38.0,2.9,9.1,16.5,79.29166666666667
16.9,19.0,15.0,94.0,2.3,17.6,27.8,31.625
17.0,22.0,14.0,84.0,2.3,9.1,24.1,20.416666666666668
